project_name,task_id,task_name,recommendation,severity,confidence,trigger
Alpha,tsk-001,Task 001,"Task shows significant slippage (24 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-005,Task 005,"Task shows significant slippage (119 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-006,Task 006,"Task shows significant slippage (60 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-007,Task 007,"Task shows significant slippage (134 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-008,Task 008,"Task shows significant slippage (18 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-009,Task 009,"Task shows significant slippage (45 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-010,Task 010,"Task shows significant slippage (10 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-011,Task 011,"Task shows significant slippage (47 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-012,Task 012,"Task shows significant slippage (37 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-013,Task 013,"Task shows significant slippage (56 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-014,Task 014,"Task shows significant slippage (38 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-015,Task 015,"Task shows significant slippage (88 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-016,Task 016,"Task shows significant slippage (52 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-017,Task 017,"Task shows significant slippage (23 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-018,Task 018,"Task shows significant slippage (38 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-019,Task 019,"Task shows significant slippage (29 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-021,Task 021,"Task shows significant slippage (103 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-022,Task 022,"Task shows significant slippage (98 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-023,Task 023,"Task shows significant slippage (58 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-024,Task 024,"Task shows significant slippage (37 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-026,Task 026,"Task shows significant slippage (60 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-027,Task 027,"Task shows significant slippage (14 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-028,Task 028,"Task shows significant slippage (64 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-029,Task 029,"Task shows significant slippage (87 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-030,Task 030,"Task shows significant slippage (128 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-031,Task 031,"Task shows significant slippage (41 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-032,Task 032,"Task shows significant slippage (53 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-033,Task 033,"Task shows significant slippage (28 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-034,Task 034,"Task shows significant slippage (42 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-035,Task 035,"Task shows significant slippage (33 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-036,Task 036,"Task shows significant slippage (59 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-037,Task 037,"Task shows significant slippage (31 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-038,Task 038,"Task shows significant slippage (49 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-041,Task 041,"Task shows significant slippage (66 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-042,Task 042,"Task shows significant slippage (13 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-043,Task 043,"Task shows significant slippage (8 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-044,Task 044,"Task shows significant slippage (43 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-047,Task 047,"Task shows significant slippage (71 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-048,Task 048,"Task shows significant slippage (32 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-049,Task 049,"Task shows significant slippage (37 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-050,Task 050,"Task shows significant slippage (21 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-051,Task 051,"Task shows significant slippage (55 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-052,Task 052,"Task shows significant slippage (33 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-053,Task 053,"Task shows significant slippage (23 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-054,Task 054,"Task shows significant slippage (24 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-056,Task 056,"Task shows significant slippage (83 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-057,Task 057,"Task shows significant slippage (91 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-059,Task 059,"Task shows significant slippage (152 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-061,Task 061,"Task shows significant slippage (128 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-062,Task 062,"Task shows significant slippage (55 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-063,Task 063,"Task shows significant slippage (60 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-064,Task 064,"Task shows significant slippage (25 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-066,Task 066,"Task shows significant slippage (32 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-068,Task 068,"Task shows significant slippage (40 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-070,Task 070,"Task shows significant slippage (56 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-071,Task 071,"Task shows significant slippage (21 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-072,Task 072,"Task shows significant slippage (36 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-074,Task 074,"Task shows significant slippage (46 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-075,Task 075,"Task shows significant slippage (71 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,0,Task tsk-005,A significant change point in slippage trend was detected around update phase 'Update_013' (Slippage: 119 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,1,Task tsk-007,A significant change point in slippage trend was detected around update phase 'Update_008' (Slippage: 87 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,2,Task tsk-012,A significant change point in slippage trend was detected around update phase 'Update_009' (Slippage: 37 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,3,Task tsk-015,A significant change point in slippage trend was detected around update phase 'Update_008' (Slippage: 88 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,4,Task tsk-022,A significant change point in slippage trend was detected around update phase 'Update_010' (Slippage: 98 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,5,Task tsk-034,A significant change point in slippage trend was detected around update phase 'Update_013' (Slippage: 42 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,6,Task tsk-036,A significant change point in slippage trend was detected around update phase 'Update_009' (Slippage: 59 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,7,Task tsk-050,A significant change point in slippage trend was detected around update phase 'Update_009' (Slippage: 20 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,8,Task tsk-051,A significant change point in slippage trend was detected around update phase 'Update_009' (Slippage: 55 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,9,Task tsk-064,A significant change point in slippage trend was detected around update phase 'Update_006' (Slippage: 25 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,10,Task tsk-066,A significant change point in slippage trend was detected around update phase 'Update_010' (Slippage: 32 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,11,Task tsk-072,A significant change point in slippage trend was detected around update phase 'Update_006' (Slippage: 14 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
